kis-gateway-1  | 2026-01-08 03:32:50,217 - main - INFO - 📊 [Gateway] Snapshot 요청: 068270
kis-gateway-1  | 2026-01-08 03:32:50,669 - main - INFO - 📊 [Gateway] Snapshot 요청: 071970
kis-gateway-1  | 2026-01-08 03:32:51,149 - main - INFO - 📊 [Gateway] Snapshot 요청: 079550
kis-gateway-1  | 2026-01-08 03:32:51,627 - main - INFO - 📊 [Gateway] Snapshot 요청: 082740
kis-gateway-1  | 2026-01-08 03:32:52,077 - main - INFO - 📊 [Gateway] Snapshot 요청: 086280
kis-gateway-1  | 2026-01-08 03:32:52,530 - main - INFO - 📊 [Gateway] Snapshot 요청: 105560
kis-gateway-1  | 2026-01-08 03:32:52,979 - main - INFO - 📊 [Gateway] Snapshot 요청: 111770
kis-gateway-1  | 2026-01-08 03:32:53,419 - main - INFO - 📊 [Gateway] Snapshot 요청: 138930
kis-gateway-1  | 2026-01-08 03:32:53,922 - main - INFO - 📊 [Gateway] Snapshot 요청: 161390
kis-gateway-1  | 2026-01-08 03:32:54,364 - main - INFO - 📊 [Gateway] Snapshot 요청: 175330
kis-gateway-1  | 2026-01-08 03:32:54,795 - main - INFO - 📊 [Gateway] Snapshot 요청: 204320
kis-gateway-1  | 2026-01-08 03:32:55,251 - main - INFO - 📊 [Gateway] Snapshot 요청: 207940
kis-gateway-1  | 2026-01-08 03:32:55,690 - main - INFO - 📊 [Gateway] Snapshot 요청: 241560
kis-gateway-1  | 2026-01-08 03:32:56,134 - main - INFO - 📊 [Gateway] Snapshot 요청: 249420
kis-gateway-1  | 2026-01-08 03:32:56,586 - main - INFO - 📊 [Gateway] Snapshot 요청: 267260
kis-gateway-1  | 2026-01-08 03:32:57,055 - main - INFO - 📊 [Gateway] Snapshot 요청: 272210
kis-gateway-1  | 2026-01-08 03:32:57,499 - main - INFO - 📊 [Gateway] Snapshot 요청: 278470
kis-gateway-1  | 2026-01-08 03:32:57,953 - main - INFO - 📊 [Gateway] Snapshot 요청: 298040
kis-gateway-1  | 2026-01-08 03:32:58,382 - main - INFO - 📊 [Gateway] Snapshot 요청: 307950
kis-gateway-1  | 2026-01-08 03:32:58,826 - main - INFO - 📊 [Gateway] Snapshot 요청: 316140
kis-gateway-1  | 2026-01-08 03:32:59,260 - main - INFO - 📊 [Gateway] Snapshot 요청: 329180
kis-gateway-1  | 2026-01-08 03:32:59,712 - main - INFO - 📊 [Gateway] Snapshot 요청: 402340
kis-gateway-1  | 2026-01-08 03:33:00,146 - main - INFO - 📊 [Gateway] Snapshot 요청: 454910
kis-gateway-1  | 2026-01-08 03:34:02,724 - main - INFO - 📅 [Gateway] Market Open Check 요청
kis-gateway-1  | 2026-01-08 03:34:02,725 - shared.kis.market_data - INFO -    (Market) KIS API: REAL 모드, 휴장일 여부 확인 중...
kis-gateway-1  | 2026-01-08 03:34:03,123 - shared.kis.market_data - INFO -    (Market) KIS API: 오늘은 정상 운영일(20260108)입니다.
kis-gateway-1  | 2026-01-08 03:34:03,185 - main - INFO - 💰 [Gateway] Cash Balance 요청
kis-gateway-1  | 2026-01-08 03:34:03,185 - shared.kis.trading - INFO -    (Balance) 주문가능금액 조회 중...
kis-gateway-1  | 2026-01-08 03:34:03,622 - shared.kis.trading - INFO -    (Balance) ✅ 주문가능금액: 183,238,606원 (미수없는매수금액)
kis-gateway-1  | 2026-01-08 03:34:03,883 - main - INFO - 📊 [Gateway] Snapshot 요청: 000120
kis-gateway-1  | 2026-01-08 03:34:04,274 - main - INFO - 📊 [Gateway] Snapshot 요청: 0001
kis-gateway-1  | 2026-01-08 03:34:04,653 - main - INFO - 📊 [Gateway] Snapshot 요청: 000990
kis-gateway-1  | 2026-01-08 03:34:05,093 - main - INFO - 📊 [Gateway] Snapshot 요청: 001450
kis-gateway-1  | 2026-01-08 03:34:05,481 - main - INFO - 📊 [Gateway] Snapshot 요청: 002380
kis-gateway-1  | 2026-01-08 03:34:05,893 - main - INFO - 📊 [Gateway] Snapshot 요청: 004800
kis-gateway-1  | 2026-01-08 03:34:06,303 - main - INFO - 📊 [Gateway] Snapshot 요청: 003690
kis-gateway-1  | 2026-01-08 03:34:06,721 - main - INFO - 📊 [Gateway] Snapshot 요청: 005380
kis-gateway-1  | 2026-01-08 03:34:07,111 - main - INFO - 📊 [Gateway] Snapshot 요청: 001430
kis-gateway-1  | 2026-01-08 03:34:07,512 - main - INFO - 📊 [Gateway] Snapshot 요청: 004170
kis-gateway-1  | 2026-01-08 03:34:07,933 - main - INFO - 📊 [Gateway] Snapshot 요청: 005385
kis-gateway-1  | 2026-01-08 03:34:08,334 - main - INFO - 📊 [Gateway] Snapshot 요청: 005830
kis-gateway-1  | 2026-01-08 03:34:08,743 - main - INFO - 📊 [Gateway] Snapshot 요청: 005850
kis-gateway-1  | 2026-01-08 03:34:09,145 - main - INFO - 📊 [Gateway] Snapshot 요청: 005930
kis-gateway-1  | 2026-01-08 03:34:09,577 - main - INFO - 📊 [Gateway] Snapshot 요청: 005935
kis-gateway-1  | 2026-01-08 03:34:09,982 - main - INFO - 📊 [Gateway] Snapshot 요청: 006400
kis-gateway-1  | 2026-01-08 03:34:10,423 - main - INFO - 📊 [Gateway] Snapshot 요청: 006800
kis-gateway-1  | 2026-01-08 03:34:10,869 - main - INFO - 📊 [Gateway] Snapshot 요청: 009150
kis-gateway-1  | 2026-01-08 03:34:11,284 - main - INFO - 📊 [Gateway] Snapshot 요청: 009970
kis-gateway-1  | 2026-01-08 03:34:09,167 - main - INFO - 📊 [Gateway] Snapshot 요청: 010060
kis-gateway-1  | 2026-01-08 03:34:09,553 - main - INFO - 📊 [Gateway] Snapshot 요청: 011070
kis-gateway-1  | 2026-01-08 03:34:10,019 - main - INFO - 📊 [Gateway] Snapshot 요청: 011210
kis-gateway-1  | 2026-01-08 03:34:10,452 - main - INFO - 📊 [Gateway] Snapshot 요청: 011780
kis-gateway-1  | 2026-01-08 03:34:10,873 - main - INFO - 📊 [Gateway] Snapshot 요청: 012330
kis-gateway-1  | 2026-01-08 03:34:11,288 - main - INFO - 📊 [Gateway] Snapshot 요청: 014680
kis-gateway-1  | 2026-01-08 03:34:11,690 - main - INFO - 📊 [Gateway] Snapshot 요청: 016360
kis-gateway-1  | 2026-01-08 03:34:12,090 - main - INFO - 📊 [Gateway] Snapshot 요청: 017670
kis-gateway-1  | 2026-01-08 03:34:12,494 - main - INFO - 📊 [Gateway] Snapshot 요청: 019180
kis-gateway-1  | 2026-01-08 03:34:12,885 - main - INFO - 📊 [Gateway] Snapshot 요청: 025560
kis-gateway-1  | 2026-01-08 03:34:13,297 - main - INFO - 📊 [Gateway] Snapshot 요청: 028260
kis-gateway-1  | 2026-01-08 03:34:13,683 - main - INFO - 📊 [Gateway] Snapshot 요청: 032830
kis-gateway-1  | 2026-01-08 03:34:14,085 - main - INFO - 📊 [Gateway] Snapshot 요청: 034220
kis-gateway-1  | 2026-01-08 03:34:14,489 - main - INFO - 📊 [Gateway] Snapshot 요청: 034730
kis-gateway-1  | 2026-01-08 03:34:14,908 - main - INFO - 📊 [Gateway] Snapshot 요청: 039490
kis-gateway-1  | 2026-01-08 03:34:15,312 - main - INFO - 📊 [Gateway] Snapshot 요청: 047810
kis-gateway-1  | 2026-01-08 03:34:15,701 - main - INFO - 📊 [Gateway] Snapshot 요청: 055550
kis-gateway-1  | 2026-01-08 03:34:16,091 - main - INFO - 📊 [Gateway] Snapshot 요청: 086280
kis-gateway-1  | 2026-01-08 03:34:16,475 - main - INFO - 📊 [Gateway] Snapshot 요청: 105560
kis-gateway-1  | 2026-01-08 03:34:16,864 - main - INFO - 📊 [Gateway] Snapshot 요청: 111770
kis-gateway-1  | 2026-01-08 03:34:17,263 - main - INFO - 📊 [Gateway] Snapshot 요청: 161390
kis-gateway-1  | 2026-01-08 03:34:17,684 - main - INFO - 📊 [Gateway] Snapshot 요청: 175330
kis-gateway-1  | 2026-01-08 03:34:18,079 - main - INFO - 📊 [Gateway] Snapshot 요청: 204320
kis-gateway-1  | 2026-01-08 03:34:18,460 - main - INFO - 📊 [Gateway] Snapshot 요청: 241560
kis-gateway-1  | 2026-01-08 03:34:18,869 - main - INFO - 📊 [Gateway] Snapshot 요청: 316140
kis-gateway-1  | 2026-01-08 03:37:22,721 - main - INFO - 📅 [Gateway] Market Open Check 요청
kis-gateway-1  | 2026-01-08 03:37:22,721 - shared.kis.market_data - INFO -    (Market) KIS API: REAL 모드, 휴장일 여부 확인 중...
kis-gateway-1  | 2026-01-08 03:37:23,119 - shared.kis.market_data - INFO -    (Market) KIS API: 오늘은 정상 운영일(20260108)입니다.
kis-gateway-1  | 2026-01-08 03:37:23,181 - main - INFO - 💰 [Gateway] Cash Balance 요청
kis-gateway-1  | 2026-01-08 03:37:23,181 - shared.kis.trading - INFO -    (Balance) 주문가능금액 조회 중...
kis-gateway-1  | 2026-01-08 03:37:23,572 - shared.kis.trading - INFO -    (Balance) ✅ 주문가능금액: 183,238,606원 (미수없는매수금액)
kis-gateway-1  | 2026-01-08 03:37:23,574 - main - INFO - 📊 [Gateway] Snapshot 요청: 000120
kis-gateway-1  | 2026-01-08 03:37:23,957 - main - INFO - 📊 [Gateway] Snapshot 요청: 0001
kis-gateway-1  | 2026-01-08 03:37:24,353 - main - INFO - 📊 [Gateway] Snapshot 요청: 000120
